Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total
 Naturalised Scrutiny Card (green),195,397,592
 National Registration Card (3-fold),501,2032,2533
 Religious card,600,933,1533
 Temporary Registration Card (white),62,454,516
 Foreign Registration Card (FRC),13,-,13
 Foreign Passport,16,30,46
 None,8901,46537,55438
 Child under 10 years,7258,35891,43149
 Total,43092,183744,226836
AREA # 120306,Kawhmu,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),5837,63260,69097
 Associate Scrutiny Card (blue),1,21,22
 Naturalised Scrutiny Card (green),6,111,117
 National Registration Card (3-fold),77,695,772
 Religious card,55,486,541
 Temporary Registration Card (white),3,164,167
 Foreign Registration Card (FRC),-,5,5
 Foreign Passport,-,16,16
 None,1271,24965,26236
 Child under 10 years,1350,20727,22077
 Total,8600,110450,119050
AREA # 120307,Kungyangon,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),10421,48134,58555
 Associate Scrutiny Card (blue),7,34,41
 Naturalised Scrutiny Card (green),25,144,169
 National Registration Card (3-fold),121,1859,1980
 Religious card,178,357,535
 Temporary Registration Card (white),67,319,386
 Foreign Registration Card (FRC),2,3,5
 Foreign Passport,2,23,25
 None,3268,26166,29434
 Child under 10 years,2536,17966,20502
 Total,16627,95005,111632
AREA # 120308,Dala,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),55508,27675,83183
 Associate Scrutiny Card (blue),74,19,93
 Naturalised Scrutiny Card (green),1683,441,2124
 National Registration Card (3-fold),5125,840,5965
 Religious card,258,227,485
 Temporary Registration Card (white),644,318,962
 Foreign Registration Card (FRC),55,4,59
 Foreign Passport,30,19,49
 None,33677,14064,47741
 Child under 10 years,22312,9884,32196
 Total,119366,53491,172857
AREA # 120309,Seikkyi/Khanaungto,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),18796,-,18796
 Associate Scrutiny Card (blue),17,-,17
 Naturalised Scrutiny Card (green),173,-,173
 National Registration Card (3-fold),702,-,702
 Religious card,95,-,95
 Temporary Registration Card (white),164,-,164
 Foreign Registration Card (FRC),5,-,5
 Foreign Passport,2,-,2
 None,7454,-,7454
 Child under 10 years,6595,-,6595
 Total,34003,-,34003
AREA # 120310,Cocogyun,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),1369,-,1369
 Naturalised Scrutiny Card (green),1,-,1
 National Registration Card (3-fold),45,-,45
 Religious card,4,-,4
 Temporary Registration Card (white),10,-,10
 None,264,-,264
 Child under 10 years,247,-,247
 Total,1940,-,1940
AREA # 120351,Tada(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),5835,13834,19669
 Associate Scrutiny Card (blue),27,13,40
 Naturalised Scrutiny Card (green),152,414,566
 National Registration Card (3-fold),98,450,548
 Religious card,37,58,95
 Temporary Registration Card (white),22,41,63
 Foreign Registration Card (FRC),1,3,4
 Foreign Passport,-,1,1
 None,1398,6668,8066
 Child under 10 years,1264,4367,5631
 Total,8834,25849,34683
AREA # 120401,Kyauktada,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),22278,-,22278
 Associate Scrutiny Card (blue),541,-,541
 Naturalised Scrutiny Card (green),751,-,751
 National Registration Card (3-fold),594,-,594
 Religious card,3,-,3
 Temporary Registration Card (white),101,-,101
 Foreign Registration Card (FRC),228,-,228
 Foreign Passport,546,-,546
 None,2224,-,2224
 Child under 10 years,2587,-,2587
 Total,29853,-,29853
AREA # 120402,Pabedan,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),23587,-,23587
 Associate Scrutiny Card (blue),663,-,663
 Naturalised Scrutiny Card (green),827,-,827
 National Registration Card (3-fold),871,-,871
 Religious card,65,-,65
 Temporary Registration Card (white),160,-,160
 Foreign Registration Card (FRC),263,-,263
 Foreign Passport,303,-,303
 None,3009,-,3009
 Child under 10 years,3588,-,3588
 Total,33336,-,33336
AREA # 120403,Lanmadaw,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),38171,-,38171
 Associate Scrutiny Card (blue),1035,-,1035
 Naturalised Scrutiny Card (green),716,-,716
 National Registration Card (3-fold),193,-,193
 Religious card,533,-,533
 Temporary Registration Card (white),125,-,125
 Foreign Registration Card (FRC),151,-,151
 Foreign Passport,227,-,227
 None,2998,-,2998
 Child under 10 years,3011,-,3011
 Total,47160,-,47160
AREA # 120404,Latha,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),19468,-,19468
 Associate Scrutiny Card (blue),927,-,927
 Naturalised Scrutiny Card (green),920,-,920
 National Registration Card (3-fold),125,-,125
 Religious card,20,-,20
 Temporary Registration Card (white),123,-,123
 Foreign Registration Card (FRC),209,-,209
 Foreign Passport,138,-,138
 None,1662,-,1662
 Child under 10 years,1465,-,1465
 Total,25057,-,25057
AREA # 120405,Ahlon,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),43174,-,43174
 Associate Scrutiny Card (blue),376,-,376
 Naturalised Scrutiny Card (green),409,-,409
 National Registration Card (3-fold),402,-,402
 Religious card,404,-,404
 Temporary Registration Card (white),409,-,409
 Foreign Registration Card (FRC),51,-,51
 Foreign Passport,162,-,162
 None,4759,-,4759
 Child under 10 years,5336,-,5336
 Total,55482,-,55482
AREA # 120406,Kyimyindine,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),75272,-,75272
 Associate Scrutiny Card (blue),181,-,181
 Naturalised Scrutiny Card (green),583,-,583
 National Registration Card (3-fold),1395,-,1395
 Religious card,513,-,513
 Temporary Registration Card (white),868,-,868
 Foreign Registration Card (FRC),56,-,56
 Foreign Passport,148,-,148
 None,16915,-,16915
 Child under 10 years,15583,-,15583
 Total,111514,-,111514
AREA # 120407,Sangyoung,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),80713,-,80713
 Associate Scrutiny Card (blue),354,-,354
 Naturalised Scrutiny Card (green),372,-,372
 National Registration Card (3-fold),625,-,625
 Religious card,1552,-,1552
 Temporary Registration Card (white),185,-,185
 Foreign Registration Card (FRC),86,-,86
 Foreign Passport,245,-,245
 None,6964,-,6964
 Child under 10 years,8523,-,8523
 Total,99619,-,99619
AREA # 120408,Hline,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),120071,-,120071
 Associate Scrutiny Card (blue),664,-,664
 Naturalised Scrutiny Card (green),1495,-,1495
 National Registration Card (3-fold),2913,-,2913
 Religious card,1038,-,1038
 Temporary Registration Card (white),835,-,835
 Foreign Registration Card (FRC),318,-,318
 Foreign Passport,302,-,302
 None,16508,-,16508
 Child under 10 years,16163,-,16163
 Total,160307,-,160307
AREA # 120409,Kamayut,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),69305,-,69305
 Associate Scrutiny Card (blue),267,-,267
 Naturalised Scrutiny Card (green),303,-,303
 National Registration Card (3-fold),277,-,277
 Religious card,230,-,230
 Temporary Registration Card (white),199,-,199
 Foreign Registration Card (FRC),135,-,135
 Foreign Passport,974,-,974
 None,5965,-,5965
 Child under 10 years,6914,-,6914
 Total,84569,-,84569
AREA # 120410,Mayangon,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),139580,-,139580
 Associate Scrutiny Card (blue),343,-,343
 Naturalised Scrutiny Card (green),893,-,893
 National Registration Card (3-fold),3484,-,3484
 Religious card,2143,-,2143
 Temporary Registration Card (white),1101,-,1101
 Foreign Registration Card (FRC),358,-,358
 Foreign Passport,1274,-,1274
 None,26280,-,26280
 Child under 10 years,22657,-,22657
 Total,198113,-,198113
AREA # 120411,Dagon,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),19226,-,19226
 Associate Scrutiny Card (blue),112,-,112
 Naturalised Scrutiny Card (green),166,-,166
 National Registration Card (3-fold),135,-,135
 Religious card,418,-,418
 Temporary Registration Card (white),74,-,74
 Foreign Registration Card (FRC),24,-,24
 Foreign Passport,717,-,717
 None,1762,-,1762
 Child under 10 years,2448,-,2448
 Total,25082,-,25082
AREA # 120412,Bahan,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),74156,-,74156
 Associate Scrutiny Card (blue),216,-,216
 Naturalised Scrutiny Card (green),237,-,237
 National Registration Card (3-fold),494,-,494
 Religious card,3717,-,3717
 Temporary Registration Card (white),321,-,321
 Foreign Registration Card (FRC),156,-,156
 Foreign Passport,1036,-,1036
 None,8133,-,8133
 Child under 10 years,8266,-,8266
 Total,96732,-,96732
AREA # 120413,Seikkan,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),1961,-,1961
 Naturalised Scrutiny Card (green),3,-,3
 National Registration Card (3-fold),21,-,21
 Religious card,81,-,81
 Temporary Registration Card (white),6,-,6
 Foreign Passport,7,-,7
 None,445,-,445
 Child under 10 years,302,-,302
 Total,2826,-,2826
AREA # 130101,Taunggyi,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),178637,68838,247475
 Associate Scrutiny Card (blue),906,217,1123
 Naturalised Scrutiny Card (green),1118,215,1333
 National Registration Card (3-fold),2590,728,3318
 Religious card,2399,378,2777
 Temporary Registration Card (white),439,99,538
 Foreign Registration Card (FRC),78,29,107
 Foreign Passport,93,43,136
 None,37573,22479,60052
 Child under 10 years,40971,23809,64780
 Total,264804,116835,381639
AREA # 130102,Nyaungshwe,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),11277,100616,111893
 Associate Scrutiny Card (blue),27,95,122
 Naturalised Scrutiny Card (green),25,319,344
 National Registration Card (3-fold),47,2819,2866
 Religious card,169,592,761
 Temporary Registration Card (white),23,192,215
 Foreign Registration Card (FRC),15,40,55
 Foreign Passport,305,216,521
 None,2114,37054,39168
 Child under 10 years,2206,31256,33462
 Total,16208,173199,189407
AREA # 130103,Hopon,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),15624,48664,64288
 Associate Scrutiny Card (blue),33,42,75
 Naturalised Scrutiny Card (green),44,85,129
 National Registration Card (3-fold),65,253,318
 Religious card,149,244,393
 Temporary Registration Card (white),8,45,53
 Foreign Registration Card (FRC),4,-,4
 Foreign Passport,6,12,18
 None,3010,19777,22787
 Child under 10 years,3897,20386,24283
 Total,22840,89508,112348
AREA # 130104,Hsihseng,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),6964,72232,79196
 Associate Scrutiny Card (blue),13,85,98
 Naturalised Scrutiny Card (green),9,159,168
 National Registration Card (3-fold),194,922,1116
 Religious card,67,446,513
 Temporary Registration Card (white),5,95,100
 Foreign Registration Card (FRC),4,6,10
 Foreign Passport,-,26,26
 None,2406,31772,34178
 Child under 10 years,2411,35216,37627
 Total,12073,140959,153032
AREA # 130105,Kalaw,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),37248,72580,109828
 Associate Scrutiny Card (blue),314,90,404
 Naturalised Scrutiny Card (green),247,161,408
 National Registration Card (3-fold),359,827,1186
 Religious card,268,463,731
 Temporary Registration Card (white),117,172,289
 Foreign Registration Card (FRC),33,31,64
 Foreign Passport,86,73,159
 None,9850,28735,38585
 Child under 10 years,9275,25154,34429
 Total,57797,128286,186083
AREA # 130106,Pindaya,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),7821,40475,48296
 Associate Scrutiny Card (blue),7,15,22
 Naturalised Scrutiny Card (green),25,173,198
 National Registration Card (3-fold),9,292,301
 Religious card,96,315,411
 Temporary Registration Card (white),24,61,85
 Foreign Registration Card (FRC),1,30,31
 Foreign Passport,15,6,21
 None,1302,13172,14474
 Child under 10 years,1462,14002,15464
 Total,10762,68541,79303
AREA # 130107,Ywarngan,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),3307,47812,51119
 Associate Scrutiny Card (blue),6,11,17
 Naturalised Scrutiny Card (green),1,31,32
 National Registration Card (3-fold),2,160,162
 Religious card,27,315,342
 Temporary Registration Card (white),7,20,27
 Foreign Registration Card (FRC),-,2,2
 Foreign Passport,1,12,13
 None,466,13785,14251
 Child under 10 years,700,15867,16567
 Total,4517,78015,82532
AREA # 130108,Yatsauk,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),20683,48581,69264
 Associate Scrutiny Card (blue),56,167,223
 Naturalised Scrutiny Card (green),217,535,752
 National Registration Card (3-fold),165,475,640
 Religious card,90,281,371
 Temporary Registration Card (white),35,109,144
 Foreign Registration Card (FRC),5,39,44
 Foreign Passport,4,26,30
 None,3850,25411,29261
 Child under 10 years,4428,21410,25838
 Total,29533,97034,126567
AREA # 130109,Pinlaung,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),9573,63172,72745
 Associate Scrutiny Card (blue),2,47,49
 Naturalised Scrutiny Card (green),18,119,137
 National Registration Card (3-fold),56,784,840
 Religious card,41,350,391
 Temporary Registration Card (white),19,51,70
 Foreign Registration Card (FRC),2,-,2
 Foreign Passport,1,19,20
 None,1104,16499,17603
 Child under 10 years,1813,21377,23190
 Total,12629,102418,115047
AREA # 130110,Phekon,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),10777,47590,58367
 Associate Scrutiny Card (blue),3,24,27
 Naturalised Scrutiny Card (green),2,48,50
 National Registration Card (3-fold),20,471,491
 Religious card,55,184,239
 Temporary Registration Card (white),20,15,35
 Foreign Passport,-,12,12
 None,2213,15489,17702
 Child under 10 years,3456,23211,26667
 Total,16546,87044,103590
AREA # 130151,Kyauktalongyi(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),2256,36138,38394
 Associate Scrutiny Card (blue),-,5,5
 Naturalised Scrutiny Card (green),-,7,7
 National Registration Card (3-fold),-,72,72
 Religious card,13,159,172
 Temporary Registration Card (white),-,23,23
 Foreign Registration Card (FRC),-,1,1
 Foreign Passport,-,7,7
 None,172,5702,5874
 Child under 10 years,725,11137,11862
 Total,3166,53251,56417
AREA # 130152,Indaw(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),5941,18142,24083
 Associate Scrutiny Card (blue),1,10,11
 Naturalised Scrutiny Card (green),8,29,37
 National Registration Card (3-fold),11,101,112
 Religious card,12,90,102
 Temporary Registration Card (white),1,13,14
 Foreign Passport,-,1,1
 None,700,4860,5560
 Child under 10 years,1578,6665,8243
 Total,8252,29911,38163
AREA # 130153,Naungtayar(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),3530,41702,45232
 Associate Scrutiny Card (blue),1,26,27
 Naturalised Scrutiny Card (green),-,88,88
 National Registration Card (3-fold),20,421,441
 Religious card,24,251,275
 Temporary Registration Card (white),-,56,56
 Foreign Passport,2,12,14
 None,443,14533,14976
 Child under 10 years,841,15260,16101
 Total,4861,72349,77210
AREA # 130201,Loilem,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),10056,21710,31766
 Associate Scrutiny Card (blue),8,20,28
 Naturalised Scrutiny Card (green),36,35,71
 National Registration Card (3-fold),85,63,148
 Religious card,52,209,261
 Temporary Registration Card (white),10,11,21
 Foreign Registration Card (FRC),5,1,6
 Foreign Passport,-,8,8
 None,1004,7475,8479
 Child under 10 years,2204,9379,11583
 Total,13460,38911,52371
AREA # 130202,Le`char,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),5654,24906,30560
 Associate Scrutiny Card (blue),9,6,15
 Naturalised Scrutiny Card (green),65,20,85
 National Registration Card (3-fold),69,46,115
 Religious card,37,136,173
 Temporary Registration Card (white),2,2,4
 Foreign Registration Card (FRC),1,1,2
 Foreign Passport,-,1,1
 None,976,7926,8902
 Child under 10 years,1188,7786,8974
 Total,8001,40830,48831
AREA # 130203,Nanhsam(South),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),15690,35109,50799
 Associate Scrutiny Card (blue),6,26,32
 Naturalised Scrutiny Card (green),63,55,118
 National Registration Card (3-fold),252,95,347
 Religious card,76,209,285
 Temporary Registration Card (white),21,61,82
 Foreign Registration Card (FRC),2,-,2
 Foreign Passport,5,12,17
 None,3336,17677,21013
 Child under 10 years,4341,15266,19607
 Total,23792,68510,92302
AREA # 130204,Kunhing,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),4891,7063,11954
 Associate Scrutiny Card (blue),4,2,6
 Naturalised Scrutiny Card (green),17,8,25
 National Registration Card (3-fold),13,44,57
 Religious card,56,26,82
 Temporary Registration Card (white),3,24,27
 Foreign Passport,-,5,5
 None,1396,4365,5761
 Child under 10 years,1201,2705,3906
 Total,7581,14242,21823
AREA # 130205,Kehsi,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),2867,11461,14328
 Associate Scrutiny Card (blue),2,10,12
 Naturalised Scrutiny Card (green),13,22,35
 National Registration Card (3-fold),25,148,173
 Religious card,18,102,120
 Temporary Registration Card (white),2,16,18
