Activity_status,Sex_Male,Sex_Female,Sex_Total
AREA # 120304,Khayan,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),696,1228,1924
" Employee (Private, Org)",21135,10640,31775
 Employer,4624,1099,5723
 Own account worker,13473,5590,19063
 Contributing family worker,3189,6248,9437
 Sought work,1575,1078,2653
 Did not seek work,197,148,345
 Full time student,8845,8437,17282
 Household work,482,27292,27774
" Pensioner, retired, elderly person",2791,4175,6966
" Ill, disabled",554,504,1058
 Other,3337,1944,5281
 Total,60898,68383,129281
NotApp :,28738,*,*
AREA # 120305,Twantay,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1718,1664,3382
" Employee (Private, Org)",27667,11827,39494
 Employer,4025,1178,5203
 Own account worker,24862,14599,39461
 Contributing family worker,6517,9483,16000
 Sought work,2468,1528,3996
 Did not seek work,374,179,553
 Full time student,14300,13792,28092
 Household work,1092,33541,34633
" Pensioner, retired, elderly person",3849,4897,8746
" Ill, disabled",988,769,1757
 Other,1649,721,2370
 Total,89509,94178,183687
NotApp :,43149,*,*
AREA # 120306,Kawhmu,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),803,1006,1809
" Employee (Private, Org)",13441,5514,18955
 Employer,3323,1031,4354
 Own account worker,14174,9460,23634
 Contributing family worker,3550,13101,16651
 Sought work,747,517,1264
 Did not seek work,83,46,129
 Full time student,7024,7056,14080
 Household work,259,8637,8896
" Pensioner, retired, elderly person",1356,2367,3723
" Ill, disabled",557,532,1089
 Other,1766,623,2389
 Total,47083,49890,96973
NotApp :,22077,*,*
AREA # 120307,Kungyangon,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),708,1051,1759
" Employee (Private, Org)",10857,2968,13825
 Employer,3167,732,3899
 Own account worker,9838,4753,14591
 Contributing family worker,2004,2709,4713
 Sought work,1281,859,2140
 Did not seek work,168,86,254
 Full time student,6693,6557,13250
 Household work,494,21978,22472
" Pensioner, retired, elderly person",1864,2748,4612
" Ill, disabled",518,430,948
 Other,6078,2589,8667
 Total,43670,47460,91130
NotApp :,20502,*,*
AREA # 120308,Dala,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),2760,1970,4730
" Employee (Private, Org)",25064,7691,32755
 Employer,1699,550,2249
 Own account worker,13508,8288,21796
 Contributing family worker,1472,1601,3073
 Sought work,3450,2349,5799
 Did not seek work,723,442,1165
 Full time student,9710,9468,19178
 Household work,1093,33026,34119
" Pensioner, retired, elderly person",3286,3676,6962
" Ill, disabled",818,574,1392
 Other,4713,2730,7443
 Total,68296,72365,140661
NotApp :,32196,*,*
AREA # 120309,Seikkyi/Khanaungto,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),359,333,692
" Employee (Private, Org)",7141,1745,8886
 Employer,106,41,147
 Own account worker,1867,1753,3620
 Contributing family worker,156,226,382
 Sought work,524,188,712
 Did not seek work,86,43,129
 Full time student,2066,2021,4087
 Household work,195,6452,6647
" Pensioner, retired, elderly person",623,681,1304
" Ill, disabled",169,112,281
 Other,399,122,521
 Total,13691,13717,27408
NotApp :,6595,*,*
AREA # 120310,Cocogyun,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),285,41,326
" Employee (Private, Org)",714,169,883
 Employer,13,1,14
 Own account worker,36,27,63
 Contributing family worker,21,53,74
 Sought work,7,-,7
 Full time student,64,48,112
 Household work,4,173,177
" Pensioner, retired, elderly person",14,10,24
" Ill, disabled",5,2,7
 Other,6,-,6
 Total,1169,524,1693
NotApp :,247,*,*
AREA # 120351,Tada(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),212,225,437
" Employee (Private, Org)",5513,1011,6524
 Employer,1796,267,2063
 Own account worker,2656,820,3476
 Contributing family worker,741,601,1342
 Sought work,285,157,442
 Did not seek work,110,69,179
 Full time student,1517,1390,2907
 Household work,177,9283,9460
" Pensioner, retired, elderly person",556,857,1413
" Ill, disabled",128,107,235
 Other,481,93,574
 Total,14172,14880,29052
NotApp :,5631,*,*
AREA # 120401,Kyauktada,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),740,779,1519
" Employee (Private, Org)",3669,2929,6598
 Employer,675,263,938
 Own account worker,2381,1201,3582
 Contributing family worker,565,405,970
 Sought work,405,380,785
 Did not seek work,87,67,154
 Full time student,1800,1599,3399
 Household work,149,4924,5073
" Pensioner, retired, elderly person",1147,1444,2591
" Ill, disabled",95,145,240
 Other,688,729,1417
 Total,12401,14865,27266
NotApp :,2587,*,*
AREA # 120402,Pabedan,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),233,363,596
" Employee (Private, Org)",3532,2801,6333
 Employer,979,323,1302
 Own account worker,3363,1111,4474
 Contributing family worker,971,519,1490
 Sought work,407,214,621
 Did not seek work,78,41,119
 Full time student,1990,1983,3973
 Household work,227,7059,7286
" Pensioner, retired, elderly person",958,1283,2241
" Ill, disabled",121,125,246
 Other,542,525,1067
 Total,13401,16347,29748
NotApp :,3588,*,*
AREA # 120403,Lanmadaw,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),875,1352,2227
" Employee (Private, Org)",6386,7452,13838
 Employer,1088,461,1549
 Own account worker,3122,2049,5171
 Contributing family worker,717,725,1442
 Sought work,601,491,1092
 Did not seek work,132,82,214
 Full time student,2775,3133,5908
 Household work,184,6840,7024
" Pensioner, retired, elderly person",1466,2092,3558
" Ill, disabled",117,130,247
 Other,1196,683,1879
 Total,18659,25490,44149
NotApp :,3011,*,*
AREA # 120404,Latha,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),341,721,1062
" Employee (Private, Org)",3615,3995,7610
 Employer,693,380,1073
 Own account worker,1813,1166,2979
 Contributing family worker,457,474,931
 Sought work,317,228,545
 Did not seek work,78,55,133
 Full time student,1322,1544,2866
 Household work,168,3531,3699
" Pensioner, retired, elderly person",796,1093,1889
" Ill, disabled",99,121,220
 Other,286,299,585
 Total,9985,13607,23592
NotApp :,1465,*,*
AREA # 120405,Ahlon,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),2001,1911,3912
" Employee (Private, Org)",8215,5778,13993
 Employer,775,338,1113
 Own account worker,3549,2420,5969
 Contributing family worker,608,622,1230
 Sought work,755,544,1299
 Did not seek work,102,53,155
 Full time student,3312,3482,6794
 Household work,278,9009,9287
" Pensioner, retired, elderly person",1842,2156,3998
" Ill, disabled",139,146,285
 Other,1271,840,2111
 Total,22847,27299,50146
NotApp :,5336,*,*
AREA # 120406,Kyimyindine,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1574,2043,3617
" Employee (Private, Org)",16434,8570,25004
 Employer,1177,664,1841
 Own account worker,9274,7497,16771
 Contributing family worker,1027,1493,2520
 Sought work,1637,791,2428
 Did not seek work,395,191,586
 Full time student,6287,6185,12472
 Household work,723,17796,18519
" Pensioner, retired, elderly person",2953,3756,6709
" Ill, disabled",370,285,655
 Other,2791,2018,4809
 Total,44642,51289,95931
NotApp :,15583,*,*
AREA # 120407,Sangyoung,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1565,2620,4185
" Employee (Private, Org)",12642,11982,24624
 Employer,1174,683,1857
 Own account worker,7207,4495,11702
 Contributing family worker,1123,873,1996
 Sought work,1507,1099,2606
 Did not seek work,191,199,390
 Full time student,6448,6579,13027
 Household work,471,15420,15891
" Pensioner, retired, elderly person",3884,4890,8774
" Ill, disabled",250,247,497
 Other,3153,2394,5547
 Total,39615,51481,91096
NotApp :,8523,*,*
AREA # 120408,Hline,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),3968,5016,8984
" Employee (Private, Org)",24037,16978,41015
 Employer,2170,907,3077
 Own account worker,11699,7828,19527
 Contributing family worker,1999,1485,3484
 Sought work,2442,1577,4019
 Did not seek work,358,183,541
 Full time student,10462,9853,20315
 Household work,710,24166,24876
" Pensioner, retired, elderly person",5202,6180,11382
" Ill, disabled",498,456,954
 Other,3151,2819,5970
 Total,66696,77448,144144
NotApp :,16163,*,*
AREA # 120409,Kamayut,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),2772,3175,5947
" Employee (Private, Org)",12159,12121,24280
 Employer,1213,680,1893
 Own account worker,4473,3343,7816
 Contributing family worker,620,875,1495
 Sought work,1335,1163,2498
 Did not seek work,252,184,436
 Full time student,5527,6356,11883
 Household work,330,10883,11213
" Pensioner, retired, elderly person",2630,3298,5928
" Ill, disabled",179,189,368
 Other,1948,1950,3898
 Total,33438,44217,77655
NotApp :,6914,*,*
AREA # 120410,Mayangon,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),6202,4088,10290
" Employee (Private, Org)",30207,21954,52161
 Employer,2795,1317,4112
 Own account worker,12449,9188,21637
 Contributing family worker,2150,2558,4708
 Sought work,2914,1951,4865
 Did not seek work,589,338,927
 Full time student,12647,12330,24977
 Household work,892,29512,30404
" Pensioner, retired, elderly person",5725,6903,12628
" Ill, disabled",588,503,1091
 Other,4587,3069,7656
 Total,81745,93711,175456
NotApp :,22657,*,*
AREA # 120411,Dagon,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1981,1464,3445
" Employee (Private, Org)",3184,2593,5777
 Employer,509,302,811
 Own account worker,1063,788,1851
 Contributing family worker,151,180,331
 Sought work,352,248,600
 Did not seek work,55,29,84
 Full time student,1582,1863,3445
 Household work,81,3151,3232
" Pensioner, retired, elderly person",780,1049,1829
" Ill, disabled",85,73,158
 Other,729,342,1071
 Total,10552,12082,22634
NotApp :,2448,*,*
AREA # 120412,Bahan,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),2836,2770,5606
" Employee (Private, Org)",13890,11752,25642
 Employer,1674,964,2638
 Own account worker,6059,4616,10675
 Contributing family worker,1139,1226,2365
 Sought work,1235,745,1980
 Did not seek work,183,130,313
 Full time student,5626,5386,11012
 Household work,610,12585,13195
" Pensioner, retired, elderly person",3080,3947,7027
" Ill, disabled",217,275,492
 Other,4892,2629,7521
 Total,41441,47025,88466
NotApp :,8266,*,*
AREA # 120413,Seikkan,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),328,80,408
" Employee (Private, Org)",598,136,734
 Employer,28,5,33
 Own account worker,118,117,235
 Contributing family worker,50,94,144
 Sought work,13,5,18
 Did not seek work,4,3,7
 Full time student,315,129,444
 Household work,34,344,378
" Pensioner, retired, elderly person",41,19,60
" Ill, disabled",1,2,3
 Other,19,41,60
 Total,1549,975,2524
NotApp :,302,*,*
AREA # 130101,Taunggyi,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),7431,6756,14187
" Employee (Private, Org)",43069,22627,65696
 Employer,4910,2261,7171
 Own account worker,39853,30014,69867
 Contributing family worker,10011,17238,27249
 Sought work,3309,1983,5292
 Did not seek work,641,288,929
 Full time student,24997,27536,52533
 Household work,1487,40776,42263
" Pensioner, retired, elderly person",7307,10094,17401
" Ill, disabled",1098,918,2016
 Other,9121,3134,12255
 Total,153234,163625,316859
NotApp :,64780,*,*
AREA # 130102,Nyaungshwe,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),886,1911,2797
" Employee (Private, Org)",19250,13595,32845
 Employer,2945,1159,4104
 Own account worker,28363,19184,47547
 Contributing family worker,8427,11641,20068
 Sought work,696,610,1306
 Did not seek work,276,176,452
 Full time student,8978,9914,18892
 Household work,453,14165,14618
" Pensioner, retired, elderly person",2959,4283,7242
" Ill, disabled",771,649,1420
 Other,3594,1060,4654
 Total,77598,78347,155945
NotApp :,33462,*,*
AREA # 130103,Hopon,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),2411,669,3080
" Employee (Private, Org)",5907,2966,8873
 Employer,773,421,1194
 Own account worker,17949,11986,29935
 Contributing family worker,7250,13824,21074
 Sought work,255,181,436
 Did not seek work,62,21,83
 Full time student,4931,5727,10658
 Household work,220,6035,6255
" Pensioner, retired, elderly person",1117,2043,3160
" Ill, disabled",237,210,447
 Other,2160,710,2870
 Total,43272,44793,88065
NotApp :,24283,*,*
AREA # 130104,Hsihseng,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1183,715,1898
" Employee (Private, Org)",5453,3087,8540
 Employer,512,294,806
 Own account worker,26630,19937,46567
 Contributing family worker,10061,17109,27170
 Sought work,420,357,777
 Did not seek work,165,90,255
 Full time student,6970,7737,14707
 Household work,494,6587,7081
" Pensioner, retired, elderly person",1502,2466,3968
" Ill, disabled",302,300,602
 Other,2370,664,3034
 Total,56062,59343,115405
NotApp :,37627,*,*
AREA # 130105,Kalaw,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),4275,1802,6077
" Employee (Private, Org)",16447,7951,24398
 Employer,1382,780,2162
 Own account worker,24756,16632,41388
 Contributing family worker,11980,19278,31258
 Sought work,958,800,1758
 Did not seek work,190,108,298
 Full time student,9086,9603,18689
 Household work,744,14491,15235
" Pensioner, retired, elderly person",2918,3544,6462
" Ill, disabled",444,387,831
 Other,2454,644,3098
 Total,75634,76020,151654
NotApp :,34429,*,*
AREA # 130106,Pindaya,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),499,809,1308
" Employee (Private, Org)",3804,2642,6446
 Employer,417,271,688
 Own account worker,9108,6326,15434
 Contributing family worker,9201,12426,21627
 Sought work,236,281,517
 Did not seek work,42,25,67
 Full time student,3878,4681,8559
 Household work,230,3416,3646
" Pensioner, retired, elderly person",1467,1911,3378
" Ill, disabled",165,163,328
 Other,1531,310,1841
 Total,30578,33261,63839
NotApp :,15464,*,*
AREA # 130107,Ywarngan,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),630,705,1335
" Employee (Private, Org)",2801,1122,3923
 Employer,247,102,349
 Own account worker,13933,8094,22027
 Contributing family worker,7030,9788,16818
 Sought work,291,351,642
 Did not seek work,58,22,80
 Full time student,3888,4757,8645
 Household work,338,6143,6481
" Pensioner, retired, elderly person",1503,1658,3161
" Ill, disabled",252,200,452
 Other,1679,373,2052
 Total,32650,33315,65965
NotApp :,16567,*,*
AREA # 130108,Yatsauk,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),5674,1180,6854
" Employee (Private, Org)",6185,2752,8937
 Employer,680,239,919
 Own account worker,19272,10040,29312
 Contributing family worker,7971,12297,20268
 Sought work,579,493,1072
 Did not seek work,86,38,124
 Full time student,6569,7362,13931
 Household work,450,11194,11644
" Pensioner, retired, elderly person",1852,2457,4309
" Ill, disabled",265,226,491
 Other,2288,580,2868
 Total,51871,48858,100729
NotApp :,25838,*,*
AREA # 130109,Pinlaung,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1356,742,2098
" Employee (Private, Org)",3801,1478,5279
 Employer,316,166,482
 Own account worker,19783,13790,33573
 Contributing family worker,10225,15973,26198
 Sought work,383,439,822
 Did not seek work,88,60,148
 Full time student,6311,6888,13199
 Household work,205,3392,3597
" Pensioner, retired, elderly person",1575,2550,4125
" Ill, disabled",277,249,526
 Other,1366,444,1810
 Total,45686,46171,91857
NotApp :,23190,*,*
AREA # 130110,Phekon,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1397,895,2292
" Employee (Private, Org)",2669,1355,4024
 Employer,1213,514,1727
 Own account worker,16400,10861,27261
 Contributing family worker,7228,11244,18472
 Sought work,382,388,770
 Did not seek work,43,20,63
 Full time student,7010,7158,14168
 Household work,313,4177,4490
" Pensioner, retired, elderly person",849,1178,2027
" Ill, disabled",195,212,407
 Other,888,334,1222
 Total,38587,38336,76923
NotApp :,26667,*,*
AREA # 130151,Kyauktalongyi(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),117,151,268
" Employee (Private, Org)",775,431,1206
 Employer,129,70,199
 Own account worker,10619,6891,17510
 Contributing family worker,5153,9022,14175
 Sought work,177,207,384
 Did not seek work,10,6,16
 Full time student,2587,3025,5612
 Household work,41,1728,1769
" Pensioner, retired, elderly person",591,988,1579
" Ill, disabled",118,124,242
 Other,1045,550,1595
 Total,21362,23193,44555
NotApp :,11862,*,*
AREA # 130152,Indaw(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
