Death_sex,Death_age_Under_1,Death_age_1,Death_age_2,Death_age_3,Death_age_4,Death_age_5,Death_age_6,Death_age_7,Death_age_8,Death_age_9,Death_age_10,Death_age_11,Death_age_12,Death_age_13,Death_age_14,Death_age_15,Death_age_16,Death_age_17,Death_age_18,Death_age_19,Death_age_20,Death_age_21,Death_age_22,Death_age_23,Death_age_24,Death_age_25,Death_age_26,Death_age_27,Death_age_28,Death_age_29,Death_age_30,Death_age_31,Death_age_32,Death_age_33,Death_age_34,Death_age_35,Death_age_36,Death_age_37,Death_age_38,Death_age_39,Death_age_40,Death_age_41,Death_age_42,Death_age_43,Death_age_44,Death_age_45,Death_age_46,Death_age_47,Death_age_48,Death_age_49,Death_age_50,Death_age_51,Death_age_52,Death_age_53,Death_age_54,Death_age_55,Death_age_56,Death_age_57,Death_age_58,Death_age_59,Death_age_60,Death_age_61,Death_age_62,Death_age_63,Death_age_64,Death_age_65,Death_age_66,Death_age_67,Death_age_68,Death_age_69,Death_age_70,Death_age_71,Death_age_72,Death_age_73,Death_age_74,Death_age_75,Death_age_76,Death_age_77,Death_age_78,Death_age_79,Death_age_80,Death_age_81,Death_age_82,Death_age_83,Death_age_84,Death_age_85,Death_age_86,Death_age_87,Death_age_88,Death_age_89,Death_age_90_and_above,Death_age_Total
 Female,23,7,2,1,3,2,2,2,-,1,-,-,1,2,1,-,-,4,1,1,2,2,1,1,1,1,-,1,-,3,1,4,6,4,-,7,3,1,1,3,1,3,6,4,7,9,3,3,2,2,5,3,2,6,3,10,5,4,5,8,5,8,6,7,13,5,8,8,6,7,11,10,7,10,8,7,11,9,17,9,22,8,10,9,5,10,6,4,9,4,25,470
 Total,62,8,4,2,4,2,8,4,1,2,2,-,1,5,3,1,5,6,4,3,5,6,5,2,4,3,7,4,2,12,5,6,13,8,5,15,9,7,11,14,10,11,10,11,15,19,18,10,12,9,9,8,11,15,13,17,15,18,13,18,16,19,19,16,25,15,22,14,11,17,24,19,15,22,18,22,36,19,27,17,29,15,19,22,12,16,11,11,14,8,30,1112
AREA # 090403,Natogyi,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,29,3,-,-,2,1,1,1,1,-,-,1,-,1,2,2,-,3,1,2,3,2,5,1,3,3,1,-,2,7,4,6,5,2,3,10,2,3,12,5,7,6,9,3,8,11,5,8,6,6,4,6,4,5,1,6,4,4,7,3,14,2,5,19,17,15,13,3,11,4,9,4,12,7,7,14,10,4,11,4,11,10,8,6,8,7,12,7,2,2,10,510
 Female,11,2,2,1,1,1,-,-,-,1,2,2,-,-,1,2,-,-,1,-,3,2,-,1,5,1,2,-,-,1,1,1,2,1,2,3,4,2,2,2,6,3,3,2,4,1,3,2,2,5,1,3,1,3,3,1,7,6,6,4,6,1,2,4,5,7,2,3,4,2,10,2,5,7,4,14,7,6,7,3,9,11,12,13,11,14,7,4,7,4,16,337
 Total,40,5,2,1,3,2,1,1,1,1,2,3,-,1,3,4,-,3,2,2,6,4,5,2,8,4,3,-,2,8,5,7,7,3,5,13,6,5,14,7,13,9,12,5,12,12,8,10,8,11,5,9,5,8,4,7,11,10,13,7,20,3,7,23,22,22,15,6,15,6,19,6,17,14,11,28,17,10,18,7,20,21,20,19,19,21,19,11,9,6,26,847
AREA # 090404,Kyaukpadaung,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,35,4,4,2,1,-,5,-,-,1,1,2,-,1,2,-,2,1,2,2,3,3,-,6,1,1,9,10,7,6,9,8,11,9,5,8,12,8,8,7,9,9,16,13,12,17,14,8,8,7,16,5,14,11,7,7,13,13,13,10,15,6,21,24,11,14,24,21,10,11,19,4,12,17,7,21,11,6,12,13,11,7,4,8,19,6,10,4,7,5,11,789
 Female,30,5,2,-,-,3,2,-,-,-,-,3,-,-,2,-,1,1,1,1,3,1,-,3,1,-,1,4,1,2,4,2,5,1,2,3,2,-,4,7,8,2,4,2,1,5,3,4,3,6,3,6,3,8,7,4,1,7,8,4,17,4,8,6,4,10,11,11,10,10,15,9,14,12,14,18,12,6,12,5,22,8,10,20,14,14,6,9,5,8,36,546
 Total,65,9,6,2,1,3,7,-,-,1,1,5,-,1,4,-,3,2,3,3,6,4,-,9,2,1,10,14,8,8,13,10,16,10,7,11,14,8,12,14,17,11,20,15,13,22,17,12,11,13,19,11,17,19,14,11,14,20,21,14,32,10,29,30,15,24,35,32,20,21,34,13,26,29,21,39,23,12,24,18,33,15,14,28,33,20,16,13,12,13,47,1335
AREA # 090405,Ngazun,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,21,-,2,2,-,2,1,1,2,-,-,-,-,-,-,-,1,1,-,1,-,-,2,-,2,5,2,2,1,5,2,1,2,2,-,4,7,4,6,1,1,2,7,3,3,5,8,5,5,1,6,-,2,3,2,7,3,3,5,5,8,2,5,8,6,4,8,6,9,6,6,6,7,7,8,9,7,7,11,4,15,6,7,6,5,5,5,2,2,-,14,359
 Female,14,2,-,-,3,1,1,2,-,-,1,3,1,2,-,-,-,-,1,-,-,1,-,-,-,2,-,3,2,3,2,2,2,1,2,1,-,3,1,1,2,2,3,1,-,5,2,1,3,1,4,-,1,2,6,4,2,2,3,2,3,2,2,7,3,7,4,1,-,3,13,1,7,3,4,11,4,4,10,3,7,4,4,8,3,12,4,5,7,2,17,268
 Total,35,2,2,2,3,3,2,3,2,-,1,3,1,2,-,-,1,1,1,1,-,1,2,-,2,7,2,5,3,8,4,3,4,3,2,5,7,7,7,2,3,4,10,4,3,10,10,6,8,2,10,-,3,5,8,11,5,5,8,7,11,4,7,15,9,11,12,7,9,9,19,7,14,10,12,20,11,11,21,7,22,10,11,14,8,17,9,7,9,2,31,627
AREA # 090501,Nyaung U,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,30,3,3,1,2,2,-,1,-,2,1,-,1,1,1,1,-,1,3,-,5,1,1,3,6,3,1,2,9,4,9,9,5,3,8,11,10,5,5,7,12,7,6,5,9,10,8,7,11,13,7,6,11,4,4,8,9,7,2,4,9,9,14,8,6,11,14,7,14,2,14,12,13,11,6,10,8,3,18,7,10,7,6,7,2,5,6,1,2,-,13,565
 Female,35,4,1,2,2,2,3,-,1,1,-,1,1,2,1,-,-,1,3,1,1,2,3,1,3,2,1,1,-,5,-,1,-,2,5,2,5,3,2,1,1,4,1,2,-,6,4,-,6,5,2,1,4,3,-,5,4,5,5,6,7,4,6,6,8,9,7,9,6,4,13,8,10,3,9,8,11,6,3,4,6,15,9,6,13,7,5,5,4,2,19,397
 Total,65,7,4,3,4,4,3,1,1,3,1,1,2,3,2,1,-,2,6,1,6,3,4,4,9,5,2,3,9,9,9,10,5,5,13,13,15,8,7,8,13,11,7,7,9,16,12,7,17,18,9,7,15,7,4,13,13,12,7,10,16,13,20,14,14,20,21,16,20,6,27,20,23,14,15,18,19,9,21,11,16,22,15,13,15,12,11,6,6,2,32,962
AREA # 090551,Ngat,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,9,1,-,1,1,-,-,-,-,-,1,-,-,1,3,1,-,-,5,-,-,1,1,-,-,2,-,-,2,-,2,2,-,2,2,2,2,1,-,1,3,3,3,-,1,3,2,1,4,3,2,-,1,-,1,2,-,1,5,2,2,5,4,1,-,1,2,4,3,1,3,1,2,1,5,1,2,-,-,1,2,3,1,2,1,-,-,2,-,1,3,134
 Female,11,-,-,1,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,1,2,-,2,-,-,-,-,1,1,-,-,-,-,1,-,-,-,1,-,3,-,-,-,2,-,1,1,-,-,2,-,1,-,1,2,3,1,3,-,1,1,1,1,1,4,2,1,2,3,4,2,2,2,-,3,1,2,1,3,2,3,3,2,1,-,-,1,2,96
 Total,20,1,-,2,1,1,1,-,-,-,2,-,-,1,3,1,-,-,5,-,-,2,2,2,-,4,-,-,2,-,3,3,-,2,2,2,3,1,-,1,4,3,6,-,1,3,4,1,5,4,2,-,3,-,2,2,1,3,8,3,5,5,5,2,1,2,3,8,5,2,5,4,6,3,7,3,2,3,1,3,3,6,3,5,4,2,1,2,-,2,5,230
AREA # 090601,Yame`thin,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,57,13,4,3,1,4,3,2,3,-,-,-,2,1,2,1,3,2,2,3,5,3,1,5,1,-,8,9,4,5,9,6,3,8,7,14,3,9,8,9,7,3,10,10,6,14,5,6,6,3,10,8,9,5,9,7,4,11,10,8,16,8,9,11,11,10,13,5,12,6,15,7,14,11,13,20,16,9,12,6,13,8,15,10,15,15,10,11,3,4,13,715
 Female,42,7,2,3,6,1,4,3,2,3,2,2,2,3,2,3,1,1,-,2,1,-,2,3,4,5,4,3,2,3,3,3,-,3,4,5,3,2,6,4,7,1,7,4,4,4,2,3,3,3,5,3,4,-,8,5,7,5,7,3,15,4,12,12,9,14,12,5,12,6,7,2,11,15,8,21,21,8,10,7,17,17,11,14,15,25,10,7,6,6,47,622
 Total,99,20,6,6,7,5,7,5,5,3,2,2,4,4,4,4,4,3,2,5,6,3,3,8,5,5,12,12,6,8,12,9,3,11,11,19,6,11,14,13,14,4,17,14,10,18,7,9,9,6,15,11,13,5,17,12,11,16,17,11,31,12,21,23,20,24,25,10,24,12,22,9,25,26,21,41,37,17,22,13,30,25,26,24,30,40,20,18,9,10,60,1337
AREA # 090602,Pyawbwe,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,53,12,3,3,5,-,2,-,1,3,1,1,-,2,2,-,3,2,3,4,5,1,3,4,1,4,4,6,4,4,8,6,5,3,7,13,6,4,6,6,6,10,6,6,2,12,11,7,9,6,19,11,7,14,13,10,11,12,5,4,17,11,7,12,13,18,14,13,15,8,15,7,10,11,7,21,19,14,11,3,18,10,9,10,9,15,8,-,2,1,20,729
 Female,41,3,3,7,2,6,3,1,1,3,3,2,3,2,1,3,1,2,8,-,3,3,4,2,2,2,2,6,6,2,4,2,5,3,6,7,5,5,8,6,8,4,8,3,4,9,6,4,2,3,4,3,5,4,5,11,6,2,9,5,6,4,8,7,2,13,13,6,3,7,10,3,7,10,6,21,16,11,17,7,20,6,11,9,9,12,14,7,8,6,33,595
 Total,94,15,6,10,7,6,5,1,2,6,4,3,3,4,3,3,4,4,11,4,8,4,7,6,3,6,6,12,10,6,12,8,10,6,13,20,11,9,14,12,14,14,14,9,6,21,17,11,11,9,23,14,12,18,18,21,17,14,14,9,23,15,15,19,15,31,27,19,18,15,25,10,17,21,13,42,35,25,28,10,38,16,20,19,18,27,22,7,10,7,53,1324
AREA # 090701,Meiktila,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,53,6,4,9,2,1,2,2,3,2,4,3,-,7,6,3,5,9,8,2,4,2,5,4,3,7,1,6,12,10,23,13,20,9,13,19,16,13,21,16,19,9,18,37,22,31,16,17,18,19,20,14,22,11,12,19,14,11,13,9,25,7,13,12,18,25,20,17,24,11,17,20,9,15,11,24,15,12,30,8,17,13,12,14,11,12,9,7,5,2,28,1162
 Female,29,11,2,1,-,3,4,1,-,2,3,1,-,3,2,3,2,3,4,-,2,1,1,2,2,3,-,2,1,4,9,4,4,8,4,4,4,3,4,4,4,4,6,8,5,11,5,9,5,6,5,5,5,9,3,10,9,8,8,10,6,5,8,12,11,15,12,21,16,7,16,9,10,11,9,17,20,11,21,17,19,12,17,20,15,15,15,7,12,7,42,710
 Total,82,17,6,10,2,4,6,3,3,4,7,4,-,10,8,6,7,12,12,2,6,3,6,6,5,10,1,8,13,14,32,17,24,17,17,23,20,16,25,20,23,13,24,45,27,42,21,26,23,25,25,19,27,20,15,29,23,19,21,19,31,12,21,24,29,40,32,38,40,18,33,29,19,26,20,41,35,23,51,25,36,25,29,34,26,27,24,14,17,9,70,1872
AREA # 090702,MahlYaing,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,33,8,3,1,3,4,-,1,-,-,1,2,-,1,-,2,-,3,5,-,-,2,2,1,3,-,1,2,1,1,1,4,7,3,8,3,7,3,9,2,13,11,8,4,5,5,13,6,5,6,10,10,7,6,7,7,6,11,7,3,12,7,7,6,8,13,5,9,8,12,7,7,15,13,5,15,12,13,8,5,9,10,5,6,6,5,2,2,5,2,10,526
 Female,16,2,-,1,-,1,2,2,1,-,-,4,1,1,-,2,1,2,1,-,1,3,1,1,-,1,1,-,1,3,-,1,3,2,2,1,1,1,5,2,4,-,4,2,1,9,3,1,3,3,3,4,2,6,2,3,4,1,3,4,7,2,8,3,2,5,9,8,6,6,9,8,9,10,11,14,11,3,5,6,8,5,10,11,11,13,2,6,3,4,26,370
 Total,49,10,3,2,3,5,2,3,1,-,1,6,1,2,-,4,1,5,6,-,1,5,3,2,3,1,2,2,2,4,1,5,10,5,10,4,8,4,14,4,17,11,12,6,6,14,16,7,8,9,13,14,9,12,9,10,10,12,10,7,19,9,15,9,10,18,14,17,14,18,16,15,24,23,16,29,23,16,13,11,17,15,15,17,17,18,4,8,8,6,36,896
AREA # 090703,Thazi,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,47,7,5,1,-,1,5,2,2,1,1,3,-,2,1,2,2,3,3,-,2,3,1,4,1,2,-,2,5,3,6,1,5,7,7,5,10,6,12,4,9,10,13,5,7,6,9,12,10,10,9,12,9,4,5,14,5,7,9,4,14,3,12,6,8,17,8,9,14,5,3,6,11,10,11,11,6,5,11,1,8,2,8,8,6,7,3,3,3,1,15,578
 Female,28,6,4,3,2,4,1,2,2,2,2,1,-,2,-,1,2,-,1,6,2,7,3,1,4,2,3,2,2,3,2,2,4,3,2,2,1,1,5,2,3,5,4,2,4,5,6,3,5,3,3,6,1,3,3,9,10,4,4,4,9,4,10,5,9,4,5,9,9,6,10,4,10,7,11,13,8,6,7,1,6,12,14,7,10,15,13,6,3,1,22,465
 Total,75,13,9,4,2,5,6,4,4,3,3,4,-,4,1,3,4,3,4,6,4,10,4,5,5,4,3,4,7,6,8,3,9,10,9,7,11,7,17,6,12,15,17,7,11,11,15,15,15,13,12,18,10,7,8,23,15,11,13,8,23,7,22,11,17,21,13,18,23,11,13,10,21,17,22,24,14,11,18,2,14,14,22,15,16,22,16,9,6,2,37,1043
AREA # 090704,Wundwin,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,44,5,4,2,1,1,1,1,-,3,-,1,-,1,1,2,1,-,2,1,1,6,4,2,3,3,5,1,1,3,3,4,7,6,5,11,6,8,8,7,11,8,5,4,6,13,7,7,10,8,7,9,9,11,5,12,8,10,10,11,8,4,11,6,18,18,10,9,6,10,7,7,14,9,9,16,11,8,11,7,10,6,13,10,5,10,2,5,5,3,16,620
 Female,28,1,2,1,-,1,-,1,1,1,1,1,-,2,1,-,-,4,1,-,1,2,1,2,1,3,-,3,3,1,1,2,3,2,2,-,5,2,3,2,1,2,5,3,1,3,6,10,4,3,3,5,4,4,4,3,4,7,6,5,5,7,4,5,5,12,10,2,7,5,8,5,7,15,4,15,10,11,11,5,14,7,15,8,8,9,7,1,3,4,35,432
 Total,72,6,6,3,1,2,1,2,1,4,1,2,-,3,2,2,1,4,3,1,2,8,5,4,4,6,5,4,4,4,4,6,10,8,7,11,11,10,11,9,12,10,10,7,7,16,13,17,14,11,10,14,13,15,9,15,12,17,16,16,13,11,15,11,23,30,20,11,13,15,15,12,21,24,13,31,21,19,22,12,24,13,28,18,13,19,9,6,8,7,51,1052
AREA # 100101,Mawlamyine,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
