Sex,Occupation_Chief_executive_senior_officials_and_legislators,Occupation_Administrative_and_commercial_managers,Occupation_Production_and_specialized_services_managers,"Occupation_Hospitality,_retail_and_other_services_managers",Occupation_Science_and_engineering_professionals,Occupation_Health_professionals,Occupation_Teaching_professionals,Occupation_Business_and_administrative_professionals,Occupation_Information_and_communications_technology_professionals,"Occupation_Legal,_social_and_cultural_professionals",Occupation_Science_and_engineering_associate_professionals,Occupation_Health_associate_professionals,Occupation_Business_and_administrative_associate_professionals,"Occupation_Legal,_social_and_cultural_and_related_associate_professionals",Occupation_Information_and_communications_technicians,Occupation_General_and_keyboard_clerks,Occupation_Customer_services_clerks,Occupation_Numerical_and_material_recording_clerks,Occupation_Other_clerical_support_workers,Occupation_Personal_service_workers,Occupation_Sales_workers,Occupation_Personal_care_workers,Occupation_Protective_services_workers,Occupation_Market-oriented_skilled_agricultural_workers,"Occupation_Market-oriented_skilled_forestry,_fishery_and_hunting_workers","Occupation_Subsistence_farmers,_fishers,_hunters_and_gatherers","Occupation_Building_and_related_trades_workers,_excluding_electricians","Occupation_Metal,_machinery_and_related_trades_workers",Occupation_Handicraft_and_printing_workers,Occupation_Electrical_and_electronic_trades_workers,"Occupation_Food_processing,_wood_working,_garment_and_other_craft_and_related_trades_workers",Occupation_Stationary_plant_and_machine_operators,Occupation_Assemblers,Occupation_Drivers_and_mobile_plant_operators,Occupation_Cleaners_and_helpers,Occupation_Agricultural_forestry_and_fishery_labourers,"Occupation_Labourers_in_mining_,_construction,_manufacturing_and_transport",Occupation_Food_preparation_assistants,Occupation_Street_and_related_sales_and_service_workers,Occupation_Refuse_workers_and_other_elementary_workers,Occupation_Not_stated,Occupation_Total
 Total,88,84,18,24,54,65,845,43,2,68,13,131,491,116,9,782,112,59,227,770,6689,24,379,14408,2864,209,2840,785,197,168,5381,352,7,2756,323,4235,1636,1,14,5562,3267,56098
NotApp :,76667,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
AREA # 120303,Thongwa,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Sex,Occupation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Chief executive senior officials and legislators,Administrative and commercial managers,Production and specialized services managers,"Hospitality, retail and other services managers",Science and engineering professionals,Health professionals,Teaching professionals,Business and administrative professionals,Information and communications technology professionals,"Legal, social and cultural professionals",Science and engineering associate professionals,Health associate professionals,Business and administrative associate professionals,"Legal, social and cultural and related associate professionals",Information and communications technicians,General and keyboard clerks,Customer services clerks,Numerical and material recording clerks,Other clerical support workers,Personal service workers,Sales workers,Personal care workers,Protective services workers,Market-oriented skilled agricultural workers,"Market-oriented skilled forestry, fishery and hunting workers","Subsistence farmers, fishers, hunters and gatherers","Building and related trades workers, excluding electricians","Metal, machinery and related trades workers",Handicraft and printing workers,Electrical and electronic trades workers,"Food processing, wood working, garment and other craft and related trades workers",Stationary plant and machine operators,Assemblers,Drivers and mobile plant operators,Cleaners and helpers,Agricultural forestry and fishery labourers,"Labourers in mining , construction, manufacturing and transport",Food preparation assistants,Street and related sales and service workers,Refuse workers and other elementary workers,Not stated,Total
 Male,67,26,6,5,8,43,73,4,2,82,-,38,301,29,1,249,23,17,111,385,2440,16,49,18676,831,79,1980,792,167,104,503,387,6,1658,82,11005,1027,-,4,1719,3597,46592
 Female,13,69,1,3,4,20,779,13,2,40,1,118,85,8,1,174,26,13,22,107,3441,19,2,6269,78,2,18,19,71,7,1910,160,-,11,178,5832,154,-,6,506,7833,28015
 Total,80,95,7,8,12,63,852,17,4,122,1,156,386,37,2,423,49,30,133,492,5881,35,51,24945,909,81,1998,811,238,111,2413,547,6,1669,260,16837,1181,-,10,2225,11430,74607
NotApp :,83269,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
AREA # 120304,Khayan,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Sex,Occupation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Chief executive senior officials and legislators,Administrative and commercial managers,Production and specialized services managers,"Hospitality, retail and other services managers",Science and engineering professionals,Health professionals,Teaching professionals,Business and administrative professionals,Information and communications technology professionals,"Legal, social and cultural professionals",Science and engineering associate professionals,Health associate professionals,Business and administrative associate professionals,"Legal, social and cultural and related associate professionals",Information and communications technicians,General and keyboard clerks,Customer services clerks,Numerical and material recording clerks,Other clerical support workers,Personal service workers,Sales workers,Personal care workers,Protective services workers,Market-oriented skilled agricultural workers,"Market-oriented skilled forestry, fishery and hunting workers","Subsistence farmers, fishers, hunters and gatherers","Building and related trades workers, excluding electricians","Metal, machinery and related trades workers",Handicraft and printing workers,Electrical and electronic trades workers,"Food processing, wood working, garment and other craft and related trades workers",Stationary plant and machine operators,Assemblers,Drivers and mobile plant operators,Cleaners and helpers,Agricultural forestry and fishery labourers,"Labourers in mining , construction, manufacturing and transport",Food preparation assistants,Street and related sales and service workers,Refuse workers and other elementary workers,Not stated,Total
 Male,53,44,3,12,8,46,131,5,1,30,4,25,323,30,1,245,34,14,113,362,2834,30,61,17482,1112,64,2228,628,133,83,601,394,-,1630,57,8288,931,-,3,4052,2813,44908
 Female,12,75,1,4,1,15,880,7,2,24,1,109,74,3,-,182,37,12,44,168,3700,21,1,7684,78,3,41,4,63,2,2050,77,1,12,143,5670,72,-,3,1470,3796,26542
 Total,65,119,4,16,9,61,1011,12,3,54,5,134,397,33,1,427,71,26,157,530,6534,51,62,25166,1190,67,2269,632,196,85,2651,471,1,1642,200,13958,1003,-,6,5522,6609,71450
NotApp :,86569,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
AREA # 120305,Twantay,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Sex,Occupation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Chief executive senior officials and legislators,Administrative and commercial managers,Production and specialized services managers,"Hospitality, retail and other services managers",Science and engineering professionals,Health professionals,Teaching professionals,Business and administrative professionals,Information and communications technology professionals,"Legal, social and cultural professionals",Science and engineering associate professionals,Health associate professionals,Business and administrative associate professionals,"Legal, social and cultural and related associate professionals",Information and communications technicians,General and keyboard clerks,Customer services clerks,Numerical and material recording clerks,Other clerical support workers,Personal service workers,Sales workers,Personal care workers,Protective services workers,Market-oriented skilled agricultural workers,"Market-oriented skilled forestry, fishery and hunting workers","Subsistence farmers, fishers, hunters and gatherers","Building and related trades workers, excluding electricians","Metal, machinery and related trades workers",Handicraft and printing workers,Electrical and electronic trades workers,"Food processing, wood working, garment and other craft and related trades workers",Stationary plant and machine operators,Assemblers,Drivers and mobile plant operators,Cleaners and helpers,Agricultural forestry and fishery labourers,"Labourers in mining , construction, manufacturing and transport",Food preparation assistants,Street and related sales and service workers,Refuse workers and other elementary workers,Not stated,Total
 Male,132,50,14,13,21,41,195,17,2,96,2,60,506,95,2,427,103,17,141,669,6103,25,205,21570,4865,217,3994,996,465,259,1600,505,11,4524,221,7106,3280,4,25,3303,2210,64091
 Female,15,114,3,1,8,25,971,26,3,58,1,186,171,38,6,363,62,17,96,313,8560,31,44,9242,913,16,79,17,277,28,7186,214,-,58,356,2481,650,-,41,1341,4996,39007
 Total,147,164,17,14,29,66,1166,43,5,154,3,246,677,133,8,790,165,34,237,982,14663,56,249,30812,5778,233,4073,1013,742,287,8786,719,11,4582,577,9587,3930,4,66,4644,7206,103098
NotApp :,123738,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
AREA # 120306,Kawhmu,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Sex,Occupation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Chief executive senior officials and legislators,Administrative and commercial managers,Production and specialized services managers,"Hospitality, retail and other services managers",Science and engineering professionals,Health professionals,Teaching professionals,Business and administrative professionals,Information and communications technology professionals,"Legal, social and cultural professionals",Science and engineering associate professionals,Health associate professionals,Business and administrative associate professionals,"Legal, social and cultural and related associate professionals",Information and communications technicians,General and keyboard clerks,Customer services clerks,Numerical and material recording clerks,Other clerical support workers,Personal service workers,Sales workers,Personal care workers,Protective services workers,Market-oriented skilled agricultural workers,"Market-oriented skilled forestry, fishery and hunting workers","Subsistence farmers, fishers, hunters and gatherers","Building and related trades workers, excluding electricians","Metal, machinery and related trades workers",Handicraft and printing workers,Electrical and electronic trades workers,"Food processing, wood working, garment and other craft and related trades workers",Stationary plant and machine operators,Assemblers,Drivers and mobile plant operators,Cleaners and helpers,Agricultural forestry and fishery labourers,"Labourers in mining , construction, manufacturing and transport",Food preparation assistants,Street and related sales and service workers,Refuse workers and other elementary workers,Not stated,Total
 Male,63,35,7,11,9,19,144,4,-,30,2,39,254,24,1,200,28,13,98,279,2179,15,61,15328,1457,85,1170,375,172,90,583,164,2,1757,96,5594,1217,-,3,2084,1486,35178
 Female,20,71,1,1,7,9,688,16,-,18,1,109,147,24,4,162,27,16,31,303,5006,16,5,10153,423,18,50,13,269,14,2544,61,1,44,137,2700,344,-,9,1167,5927,30556
 Total,83,106,8,12,16,28,832,20,-,48,3,148,401,48,5,362,55,29,129,582,7185,31,66,25481,1880,103,1220,388,441,104,3127,225,3,1801,233,8294,1561,-,12,3251,7413,65734
NotApp :,53316,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
AREA # 120307,Kungyangon,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Sex,Occupation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Chief executive senior officials and legislators,Administrative and commercial managers,Production and specialized services managers,"Hospitality, retail and other services managers",Science and engineering professionals,Health professionals,Teaching professionals,Business and administrative professionals,Information and communications technology professionals,"Legal, social and cultural professionals",Science and engineering associate professionals,Health associate professionals,Business and administrative associate professionals,"Legal, social and cultural and related associate professionals",Information and communications technicians,General and keyboard clerks,Customer services clerks,Numerical and material recording clerks,Other clerical support workers,Personal service workers,Sales workers,Personal care workers,Protective services workers,Market-oriented skilled agricultural workers,"Market-oriented skilled forestry, fishery and hunting workers","Subsistence farmers, fishers, hunters and gatherers","Building and related trades workers, excluding electricians","Metal, machinery and related trades workers",Handicraft and printing workers,Electrical and electronic trades workers,"Food processing, wood working, garment and other craft and related trades workers",Stationary plant and machine operators,Assemblers,Drivers and mobile plant operators,Cleaners and helpers,Agricultural forestry and fishery labourers,"Labourers in mining , construction, manufacturing and transport",Food preparation assistants,Street and related sales and service workers,Refuse workers and other elementary workers,Not stated,Total
 Male,63,38,5,8,14,18,141,6,1,26,1,30,214,38,3,178,55,5,101,298,1502,12,48,10432,2437,184,1162,336,111,90,409,243,-,1373,52,4429,892,-,2,4988,1479,31424
 Female,16,75,5,2,3,23,795,15,1,16,-,97,75,14,-,149,18,8,42,125,3755,15,1,2790,135,9,39,2,67,8,1697,96,1,17,101,825,115,-,6,1613,1751,14522
 Total,79,113,10,10,17,41,936,21,2,42,1,127,289,52,3,327,73,13,143,423,5257,27,49,13222,2572,193,1201,338,178,98,2106,339,1,1390,153,5254,1007,-,8,6601,3230,45946
NotApp :,65686,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
AREA # 120308,Dala,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Sex,Occupation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Chief executive senior officials and legislators,Administrative and commercial managers,Production and specialized services managers,"Hospitality, retail and other services managers",Science and engineering professionals,Health professionals,Teaching professionals,Business and administrative professionals,Information and communications technology professionals,"Legal, social and cultural professionals",Science and engineering associate professionals,Health associate professionals,Business and administrative associate professionals,"Legal, social and cultural and related associate professionals",Information and communications technicians,General and keyboard clerks,Customer services clerks,Numerical and material recording clerks,Other clerical support workers,Personal service workers,Sales workers,Personal care workers,Protective services workers,Market-oriented skilled agricultural workers,"Market-oriented skilled forestry, fishery and hunting workers","Subsistence farmers, fishers, hunters and gatherers","Building and related trades workers, excluding electricians","Metal, machinery and related trades workers",Handicraft and printing workers,Electrical and electronic trades workers,"Food processing, wood working, garment and other craft and related trades workers",Stationary plant and machine operators,Assemblers,Drivers and mobile plant operators,Cleaners and helpers,Agricultural forestry and fishery labourers,"Labourers in mining , construction, manufacturing and transport",Food preparation assistants,Street and related sales and service workers,Refuse workers and other elementary workers,Not stated,Total
 Male,94,32,12,46,75,34,117,24,6,121,22,52,757,153,7,930,142,56,381,776,7763,174,388,4573,1657,110,6476,1385,400,409,904,176,9,5139,662,2520,4413,3,17,1631,4585,47231
 Female,23,57,13,19,17,38,633,73,12,71,4,116,216,51,14,918,192,82,285,251,9714,180,12,1004,79,5,571,18,239,30,1578,125,-,77,899,475,293,3,20,577,3566,22550
 Total,117,89,25,65,92,72,750,97,18,192,26,168,973,204,21,1848,334,138,666,1027,17477,354,400,5577,1736,115,7047,1403,639,439,2482,301,9,5216,1561,2995,4706,6,37,2208,8151,69781
NotApp :,103076,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
AREA # 120309,Seikkyi/Khanaungto,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Sex,Occupation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Chief executive senior officials and legislators,Administrative and commercial managers,Production and specialized services managers,"Hospitality, retail and other services managers",Science and engineering professionals,Health professionals,Teaching professionals,Business and administrative professionals,Information and communications technology professionals,"Legal, social and cultural professionals",Science and engineering associate professionals,Health associate professionals,Business and administrative associate professionals,"Legal, social and cultural and related associate professionals",Information and communications technicians,General and keyboard clerks,Customer services clerks,Numerical and material recording clerks,Other clerical support workers,Personal service workers,Sales workers,Personal care workers,Protective services workers,Market-oriented skilled agricultural workers,"Market-oriented skilled forestry, fishery and hunting workers","Subsistence farmers, fishers, hunters and gatherers","Building and related trades workers, excluding electricians","Metal, machinery and related trades workers",Handicraft and printing workers,Electrical and electronic trades workers,"Food processing, wood working, garment and other craft and related trades workers",Stationary plant and machine operators,Assemblers,Drivers and mobile plant operators,Cleaners and helpers,Agricultural forestry and fishery labourers,"Labourers in mining , construction, manufacturing and transport",Food preparation assistants,Street and related sales and service workers,Refuse workers and other elementary workers,Not stated,Total
