Identity_card,Sex_Male,Sex_Female,Sex_Total
 Total,62530,69964,132494
AREA # 120301,Thanlyin,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),71104,74991,146095
 Associate Scrutiny Card (blue),100,114,214
 Naturalised Scrutiny Card (green),2748,2682,5430
 National Registration Card (3-fold),2716,3602,6318
 Religious card,1297,633,1930
 Temporary Registration Card (white),582,722,1304
 Foreign Registration Card (FRC),22,25,47
 Foreign Passport,59,42,101
 None,29845,32885,62730
 Child under 10 years,22064,21830,43894
 Total,130537,137526,268063
AREA # 120302,Kyauktan,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),34835,36413,71248
 Associate Scrutiny Card (blue),65,82,147
 Naturalised Scrutiny Card (green),1739,1765,3504
 National Registration Card (3-fold),564,750,1314
 Religious card,462,228,690
 Temporary Registration Card (white),112,121,233
 Foreign Registration Card (FRC),8,13,21
 Foreign Passport,75,13,88
 None,15721,18471,34192
 Child under 10 years,10797,10531,21328
 Total,64378,68387,132765
AREA # 120303,Thongwa,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),41908,45897,87805
 Associate Scrutiny Card (blue),35,45,80
 Naturalised Scrutiny Card (green),1406,1510,2916
 National Registration Card (3-fold),530,799,1329
 Religious card,564,14,578
 Temporary Registration Card (white),306,447,753
 Foreign Registration Card (FRC),9,7,16
 Foreign Passport,18,16,34
 None,16604,19889,36493
 Child under 10 years,14112,13760,27872
 Total,75492,82384,157876
AREA # 120304,Khayan,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),36394,38806,75200
 Associate Scrutiny Card (blue),23,28,51
 Naturalised Scrutiny Card (green),667,443,1110
 National Registration Card (3-fold),3166,4660,7826
 Religious card,502,44,546
 Temporary Registration Card (white),247,267,514
 Foreign Registration Card (FRC),1,2,3
 Foreign Passport,13,13,26
 None,19885,24120,44005
 Child under 10 years,14612,14126,28738
 Total,75510,82509,158019
AREA # 120305,Twantay,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),60693,62261,122954
 Associate Scrutiny Card (blue),29,33,62
 Naturalised Scrutiny Card (green),324,268,592
 National Registration Card (3-fold),1021,1512,2533
 Religious card,1110,423,1533
 Temporary Registration Card (white),241,275,516
 Foreign Registration Card (FRC),7,6,13
 Foreign Passport,31,15,46
 None,26053,29385,55438
 Child under 10 years,21742,21407,43149
 Total,111251,115585,226836
AREA # 120306,Kawhmu,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),33648,35449,69097
 Associate Scrutiny Card (blue),9,13,22
 Naturalised Scrutiny Card (green),78,39,117
 National Registration Card (3-fold),293,479,772
 Religious card,510,31,541
 Temporary Registration Card (white),78,89,167
 Foreign Registration Card (FRC),2,3,5
 Foreign Passport,10,6,16
 None,12455,13781,26236
 Child under 10 years,11216,10861,22077
 Total,58299,60751,119050
AREA # 120307,Kungyangon,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),28517,30038,58555
 Associate Scrutiny Card (blue),15,26,41
 Naturalised Scrutiny Card (green),124,45,169
 National Registration Card (3-fold),829,1151,1980
 Religious card,478,57,535
 Temporary Registration Card (white),173,213,386
 Foreign Registration Card (FRC),3,2,5
 Foreign Passport,12,13,25
 None,13519,15915,29434
 Child under 10 years,10437,10065,20502
 Total,54107,57525,111632
AREA # 120308,Dala,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),41035,42148,83183
 Associate Scrutiny Card (blue),45,48,93
 Naturalised Scrutiny Card (green),1126,998,2124
 National Registration Card (3-fold),2489,3476,5965
 Religious card,455,30,485
 Temporary Registration Card (white),407,555,962
 Foreign Registration Card (FRC),29,30,59
 Foreign Passport,22,27,49
 None,22688,25053,47741
 Child under 10 years,16375,15821,32196
 Total,84671,88186,172857
AREA # 120309,Seikkyi/Khanaungto,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),9498,9298,18796
 Associate Scrutiny Card (blue),5,12,17
 Naturalised Scrutiny Card (green),103,70,173
 National Registration Card (3-fold),290,412,702
 Religious card,91,4,95
 Temporary Registration Card (white),75,89,164
 Foreign Registration Card (FRC),1,4,5
 Foreign Passport,1,1,2
 None,3627,3827,7454
 Child under 10 years,3377,3218,6595
 Total,17068,16935,34003
AREA # 120310,Cocogyun,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),927,442,1369
 Naturalised Scrutiny Card (green),-,1,1
 National Registration Card (3-fold),38,7,45
 Religious card,4,-,4
 Temporary Registration Card (white),9,1,10
 None,191,73,264
 Child under 10 years,125,122,247
 Total,1294,646,1940
AREA # 120351,Tada(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),9844,9825,19669
 Associate Scrutiny Card (blue),21,19,40
 Naturalised Scrutiny Card (green),301,265,566
 National Registration Card (3-fold),226,322,548
 Religious card,90,5,95
 Temporary Registration Card (white),37,26,63
 Foreign Registration Card (FRC),3,1,4
 Foreign Passport,-,1,1
 None,3650,4416,8066
 Child under 10 years,2906,2725,5631
 Total,17078,17605,34683
AREA # 120401,Kyauktada,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),9844,12434,22278
 Associate Scrutiny Card (blue),259,282,541
 Naturalised Scrutiny Card (green),343,408,751
 National Registration Card (3-fold),295,299,594
 Religious card,1,2,3
 Temporary Registration Card (white),43,58,101
 Foreign Registration Card (FRC),97,131,228
 Foreign Passport,352,194,546
 None,1167,1057,2224
 Child under 10 years,1376,1211,2587
 Total,13777,16076,29853
AREA # 120402,Pabedan,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),10456,13131,23587
 Associate Scrutiny Card (blue),326,337,663
 Naturalised Scrutiny Card (green),413,414,827
 National Registration Card (3-fold),360,511,871
 Religious card,65,-,65
 Temporary Registration Card (white),73,87,160
 Foreign Registration Card (FRC),112,151,263
 Foreign Passport,160,143,303
 None,1436,1573,3009
 Child under 10 years,1770,1818,3588
 Total,15171,18165,33336
AREA # 120403,Lanmadaw,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),15763,22408,38171
 Associate Scrutiny Card (blue),465,570,1035
 Naturalised Scrutiny Card (green),314,402,716
 National Registration Card (3-fold),90,103,193
 Religious card,528,5,533
 Temporary Registration Card (white),44,81,125
 Foreign Registration Card (FRC),61,90,151
 Foreign Passport,150,77,227
 None,1244,1754,2998
 Child under 10 years,1521,1490,3011
 Total,20180,26980,47160
AREA # 120404,Latha,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),8037,11431,19468
 Associate Scrutiny Card (blue),423,504,927
 Naturalised Scrutiny Card (green),415,505,920
 National Registration Card (3-fold),41,84,125
 Religious card,17,3,20
 Temporary Registration Card (white),69,54,123
 Foreign Registration Card (FRC),90,119,209
 Foreign Passport,110,28,138
 None,783,879,1662
 Child under 10 years,743,722,1465
 Total,10728,14329,25057
AREA # 120405,Ahlon,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),19222,23952,43174
 Associate Scrutiny Card (blue),209,167,376
 Naturalised Scrutiny Card (green),216,193,409
 National Registration Card (3-fold),169,233,402
 Religious card,400,4,404
 Temporary Registration Card (white),221,188,409
 Foreign Registration Card (FRC),26,25,51
 Foreign Passport,132,30,162
 None,2252,2507,4759
 Child under 10 years,2704,2632,5336
 Total,25551,29931,55482
AREA # 120406,Kyimyindine,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),34638,40634,75272
 Associate Scrutiny Card (blue),73,108,181
 Naturalised Scrutiny Card (green),294,289,583
 National Registration Card (3-fold),580,815,1395
 Religious card,496,17,513
 Temporary Registration Card (white),367,501,868
 Foreign Registration Card (FRC),21,35,56
 Foreign Passport,127,21,148
 None,8046,8869,16915
 Child under 10 years,7985,7598,15583
 Total,52627,58887,111514
AREA # 120407,Sangyoung,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),34094,46619,80713
 Associate Scrutiny Card (blue),151,203,354
 Naturalised Scrutiny Card (green),188,184,372
 National Registration Card (3-fold),272,353,625
 Religious card,1260,292,1552
 Temporary Registration Card (white),80,105,185
 Foreign Registration Card (FRC),41,45,86
 Foreign Passport,150,95,245
 None,3379,3585,6964
 Child under 10 years,4378,4145,8523
 Total,43993,55626,99619
AREA # 120408,Hline,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),54234,65837,120071
 Associate Scrutiny Card (blue),307,357,664
 Naturalised Scrutiny Card (green),803,692,1495
 National Registration Card (3-fold),1200,1713,2913
 Religious card,959,79,1038
 Temporary Registration Card (white),377,458,835
 Foreign Registration Card (FRC),151,167,318
 Foreign Passport,201,101,302
 None,8464,8044,16508
 Child under 10 years,8333,7830,16163
 Total,75029,85278,160307
AREA # 120409,Kamayut,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),29223,40082,69305
 Associate Scrutiny Card (blue),128,139,267
 Naturalised Scrutiny Card (green),150,153,303
 National Registration Card (3-fold),114,163,277
 Religious card,218,12,230
 Temporary Registration Card (white),54,145,199
 Foreign Registration Card (FRC),76,59,135
 Foreign Passport,684,290,974
 None,2791,3174,5965
 Child under 10 years,3520,3394,6914
 Total,36958,47611,84569
AREA # 120410,Mayangon,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),63402,76178,139580
 Associate Scrutiny Card (blue),175,168,343
 Naturalised Scrutiny Card (green),541,352,893
 National Registration Card (3-fold),1462,2022,3484
 Religious card,1411,732,2143
 Temporary Registration Card (white),486,615,1101
 Foreign Registration Card (FRC),190,168,358
 Foreign Passport,841,433,1274
 None,13237,13043,26280
 Child under 10 years,11647,11010,22657
 Total,93392,104721,198113
AREA # 120411,Dagon,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),8588,10638,19226
 Associate Scrutiny Card (blue),51,61,112
 Naturalised Scrutiny Card (green),78,88,166
 National Registration Card (3-fold),48,87,135
 Religious card,395,23,418
 Temporary Registration Card (white),35,39,74
 Foreign Registration Card (FRC),9,15,24
 Foreign Passport,505,212,717
 None,843,919,1762
 Child under 10 years,1294,1154,2448
 Total,11846,13236,25082
AREA # 120412,Bahan,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),33104,41052,74156
 Associate Scrutiny Card (blue),115,101,216
 Naturalised Scrutiny Card (green),139,98,237
 National Registration Card (3-fold),207,287,494
 Religious card,2829,888,3717
 Temporary Registration Card (white),131,190,321
 Foreign Registration Card (FRC),90,66,156
 Foreign Passport,663,373,1036
 None,4163,3970,8133
 Child under 10 years,4077,4189,8266
 Total,45518,51214,96732
AREA # 120413,Seikkan,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),1131,830,1961
 Naturalised Scrutiny Card (green),3,-,3
 National Registration Card (3-fold),9,12,21
 Religious card,81,-,81
 Temporary Registration Card (white),3,3,6
 Foreign Passport,7,-,7
 None,315,130,445
 Child under 10 years,148,154,302
 Total,1697,1129,2826
AREA # 130101,Taunggyi,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),116720,130755,247475
 Associate Scrutiny Card (blue),555,568,1123
 Naturalised Scrutiny Card (green),737,596,1333
 National Registration Card (3-fold),1367,1951,3318
 Religious card,2584,193,2777
 Temporary Registration Card (white),250,288,538
 Foreign Registration Card (FRC),53,54,107
 Foreign Passport,94,42,136
 None,30874,29178,60052
 Child under 10 years,32720,32060,64780
 Total,185954,195685,381639
AREA # 130102,Nyaungshwe,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),56162,55731,111893
 Associate Scrutiny Card (blue),62,60,122
 Naturalised Scrutiny Card (green),215,129,344
 National Registration Card (3-fold),1162,1704,2866
 Religious card,715,46,761
 Temporary Registration Card (white),115,100,215
 Foreign Registration Card (FRC),31,24,55
 Foreign Passport,244,277,521
 None,18892,20276,39168
 Child under 10 years,16939,16523,33462
 Total,94537,94870,189407
AREA # 130103,Hopon,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),31962,32326,64288
 Associate Scrutiny Card (blue),35,40,75
 Naturalised Scrutiny Card (green),65,64,129
 National Registration Card (3-fold),113,205,318
 Religious card,388,5,393
 Temporary Registration Card (white),30,23,53
 Foreign Registration Card (FRC),2,2,4
 Foreign Passport,11,7,18
 None,10666,12121,22787
 Child under 10 years,12263,12020,24283
 Total,55535,56813,112348
AREA # 130104,Hsihseng,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),38746,40450,79196
 Associate Scrutiny Card (blue),43,55,98
 Naturalised Scrutiny Card (green),112,56,168
 National Registration Card (3-fold),541,575,1116
 Religious card,498,15,513
 Temporary Registration Card (white),61,39,100
 Foreign Registration Card (FRC),3,7,10
 Foreign Passport,15,11,26
 None,16043,18135,34178
 Child under 10 years,18674,18953,37627
 Total,74736,78296,153032
AREA # 130105,Kalaw,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),54496,55332,109828
 Associate Scrutiny Card (blue),207,197,404
 Naturalised Scrutiny Card (green),253,155,408
 National Registration Card (3-fold),478,708,1186
 Religious card,680,51,731
 Temporary Registration Card (white),157,132,289
 Foreign Registration Card (FRC),34,30,64
 Foreign Passport,100,59,159
 None,19229,19356,38585
 Child under 10 years,17458,16971,34429
 Total,93092,92991,186083
AREA # 130106,Pindaya,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),22532,25764,48296
 Associate Scrutiny Card (blue),12,10,22
 Naturalised Scrutiny Card (green),119,79,198
 National Registration Card (3-fold),140,161,301
 Religious card,395,16,411
 Temporary Registration Card (white),40,45,85
 Foreign Registration Card (FRC),19,12,31
 Foreign Passport,5,16,21
 None,7316,7158,14474
 Child under 10 years,7890,7574,15464
 Total,38468,40835,79303
AREA # 130107,Ywarngan,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),25096,26023,51119
 Associate Scrutiny Card (blue),10,7,17
 Naturalised Scrutiny Card (green),23,9,32
 National Registration Card (3-fold),67,95,162
 Religious card,331,11,342
 Temporary Registration Card (white),13,14,27
 Foreign Registration Card (FRC),2,-,2
 Foreign Passport,7,6,13
 None,7101,7150,14251
 Child under 10 years,8399,8168,16567
 Total,41049,41483,82532
AREA # 130108,Yatsauk,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),36348,32916,69264
 Associate Scrutiny Card (blue),105,118,223
 Naturalised Scrutiny Card (green),412,340,752
 National Registration Card (3-fold),300,340,640
 Religious card,351,20,371
 Temporary Registration Card (white),76,68,144
 Foreign Registration Card (FRC),20,24,44
 Foreign Passport,15,15,30
 None,14244,15017,29261
 Child under 10 years,13090,12748,25838
 Total,64961,61606,126567
AREA # 130109,Pinlaung,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),36245,36500,72745
 Associate Scrutiny Card (blue),25,24,49
 Naturalised Scrutiny Card (green),90,47,137
 National Registration Card (3-fold),317,523,840
 Religious card,382,9,391
 Temporary Registration Card (white),50,20,70
 Foreign Registration Card (FRC),2,-,2
 Foreign Passport,9,11,20
 None,8566,9037,17603
 Child under 10 years,11725,11465,23190
 Total,57411,57636,115047
AREA # 130110,Phekon,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),29111,29256,58367
 Associate Scrutiny Card (blue),10,17,27
 Naturalised Scrutiny Card (green),29,21,50
 National Registration Card (3-fold),180,311,491
 Religious card,215,24,239
 Temporary Registration Card (white),25,10,35
 Foreign Passport,7,5,12
 None,9010,8692,17702
 Child under 10 years,13706,12961,26667
 Total,52293,51297,103590
AREA # 130151,Kyauktalongyi(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),18061,20333,38394
 Associate Scrutiny Card (blue),2,3,5
 Naturalised Scrutiny Card (green),4,3,7
 National Registration Card (3-fold),25,47,72
 Religious card,166,6,172
 Temporary Registration Card (white),15,8,23
 Foreign Registration Card (FRC),1,-,1
 Foreign Passport,4,3,7
 None,3084,2790,5874
 Child under 10 years,5884,5978,11862
 Total,27246,29171,56417
AREA # 130152,Indaw(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),12298,11785,24083
 Associate Scrutiny Card (blue),6,5,11
 Naturalised Scrutiny Card (green),26,11,37
